Em metros

Defeito x	y 
0   -1  -1
1	17.75	4.5
2	6.5	11
3	23.5	18
4	11.5	2.5
5	5.25	13
6	20.25	21
7	6	14
8	17	19
9	14	9.125
10	7.5	17.875
11	2	4
12	5	10
13	6	1.25
14	12.75	4
15	16.25	8.5
16	22.5	2
17	2	16.5
18	9	20
19	6.5	12.75
20	13.75	14
21	17.75	16.5
22	21.5	22.75
23	19	19
24	15.5	13.5
25	23.75	23.5
